6,214%;KNIP11;KINEA ÍNDICE DE PREÇOS;;;;
Seguir;;;;;;
"
";;;;;;
4,754%;KNCR11;KINEA RENDIMENTOS IMOBILIÁRIOS;;;;
Seguir;;;;;;
"
";;;;;;
4,629%;HGLG11;CGHG LOGÍSTICA;;;;
Seguir;;;;;;
"
";;;;;;
3,304%;KNRI11;KINEA RENDA IMOBILIÁRIA;;;;
Seguir;;;;;;
"
";;;;;;
2,65%;IRDM11;IRIDIUM RECEBÍVEIS IMOBILIÁRIOS;;;;
Seguir;;;;;;
"
";;;;;;
2,633%;XPLG11;XP LOG;;;;
Seguir;;;;;;
"
";;;;;;
2,481%;MXRF11;MAXI RENDA;;;;
Seguir;;;;;;
"
";;;;;;
2,436%;XPML11;XP MALLS;;;;
Seguir;;;;;;
"
";;;;;;
2,281%;CPTS11;CAPITANIA SECURITIES II;;;;
Seguir;;;;;;
"
";;;;;;
2,064%;HGRU11;CSHG RENDA URBANA;;;;
Seguir;;;;;;
"
";;;;;;
1,938%;RECR11;FII REC RECEBÍVEIS IMOBILIÁRIOS;;;;
Seguir;;;;;;
"
";;;;;;
1,914%;VISC11;VINCI SHOPPING CENTERS;;;;
Seguir;;;;;;
"
";;;;;;
1,894%;BTLG11;BTG PACTUAL LOGISTICA FDO INV IMOB – FII;;;;
Seguir;;;;;;
"
";;;;;;
1,891%;HGBS11;CSHG BRASIL SHOPPING;;;;
Seguir;;;;;;
"
";;;;;;
1,551%;KNHY11;KINEA HIGH YIELD CRI;;;;
Seguir;;;;;;
"
";;;;;;
1,545%;HFOF11;HEDGE TOP FOFII 3;;;;
Seguir;;;;;;
"
";;;;;;
1,54%;BCFF11;BTG FUNDO DE FUNDOS;;;;
Seguir;;;;;;
"
";;;;;;
1,52%;BRCR11;BTG PACTUAL CORPORATE OFFICE;;;;
Seguir;;;;;;
"
";;;;;;
1,501%;BRCO11;BRESCO LOGÍSTICA – FDO INV IMOB;;;;
Seguir;;;;;;
"
";;;;;;
1,436%;TGAR11;TG ATIVO REAL;;;;
Seguir;;;;;;
"
";;;;;;
1,421%;HGRE11;CSHG REAL ESTATE;;;;
Seguir;;;;;;
"
";;;;;;
1,412%;JSRE11;JS REAL ESTATE MULTIGESTÃO;;;;
Seguir;;;;;;
"
";;;;;;
1,396%;HGCR11;CGHG RECEBÍVEIS IMOBILIÁRIOS;;;;
Seguir;;;;;;
"
";;;;;;
1,372%;VILG11;VINCI LOGÍSTICA FDO INV IMOB;;;;
Seguir;;;;;;
"
";;;;;;
1,326%;MCCI11;FDO INV. MAUA CAPITAL RECEBIVEIS IMOB. – FII;;;;
Seguir;;;;;;
"
";;;;;;
1,322%;BBPO11;BB PROGRESSIVO II;;;;
Seguir;;;;;;
"
";;;;;;
1,261%;HSML11;HSI MALL FDO INV IMOB;;;;
Seguir;;;;;;
"
";;;;;;
1,211%;VRTA11;FATOR VERITA;;;;
Seguir;;;;;;
"
";;;;;;
1,175%;LVBI11;FDO INV IMOB – VBI LOGÍSTICO;;;;
Seguir;;;;;;
"
";;;;;;
1,159%;TRXF11;TRX REAL ESTATE;;;;
Seguir;;;;;;
"
";;;;;;
